Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
High Point (Big South),24,115,396,29,564,1357,41.6,91,3.8,157,6.5,1600,66.7,1677,69.9,-3.2,9,15,37.5,852,35.5,819,34.1,1.4
Hofstra (CAA),23,174,527,33,595,1342,44.3,68,3,152,6.6,1681,73.1,1679,73,0.1,13,10,56.5,816,35.5,815,35.4,0
Holy Cross (Patriot),16,111,314,35.4,423,952,44.4,63,3.9,110,6.9,1130,70.6,1217,76.1,-5.4,5,11,31.2,523,32.7,587,36.7,-4
Houston Baptist (Southland),32,291,823,35.4,854,1961,43.5,149,4.7,255,8,2434,76.1,1863,58.2,17.8,28,4,87.5,1296,40.5,1009,31.5,9
Houston (AAC),25,202,588,34.4,635,1486,42.7,92,3.7,176,7,1776,71,2007,80.3,-9.2,6,19,24,855,34.2,954,38.2,-4
Howard (MEAC),5,38,123,30.9,123,283,43.5,25,5,26,5.2,363,72.6,424,84.8,-12.2,1,4,20,177,35.4,198,39.6,-4.2
Idaho St. (Big Sky),22,122,358,34.1,489,1133,43.2,43,2,109,5,1343,61,1682,76.5,-15.4,1,21,4.5,657,29.9,753,34.2,-4.4
Idaho (Big Sky),24,166,499,33.3,559,1261,44.3,83,3.5,108,4.5,1637,68.2,1481,61.7,6.5,13,11,54.2,867,36.1,717,29.9,6.2
Illinois St. (MVC),31,203,544,37.3,909,1819,50,87,2.8,176,5.7,2497,80.5,2128,68.6,11.9,24,7,77.4,1239,40,942,30.4,9.6
Illinois (Big Ten),25,195,566,34.5,679,1477,46,84,3.4,150,6,1799,72,1870,74.8,-2.8,7,18,28,881,35.2,899,36,-0.7
Indiana St. (MVC),27,158,488,32.4,654,1510,43.3,101,3.7,155,5.7,1882,69.7,1873,69.4,0.3,12,15,44.4,933,34.6,973,36,-1.5
Indiana (Big Ten),25,149,446,33.4,580,1338,43.3,73,2.9,164,6.6,1662,66.5,1645,65.8,0.7,15,10,60,796,31.8,836,33.4,-1.6
Iona (MAAC),18,132,381,34.6,446,1010,44.2,75,4.2,123,6.8,1283,71.3,1189,66.1,5.2,12,6,66.7,665,36.9,580,32.2,4.7
Iowa St. (Big 12),31,301,780,38.6,923,1961,47.1,141,4.5,173,5.6,2595,83.7,2255,72.7,11,22,9,71,1231,39.7,1146,37,2.7
Iowa (Big Ten),24,175,546,32.1,591,1413,41.8,75,3.1,156,6.5,1574,65.6,1841,76.7,-11.1,2,22,8.3,758,31.6,913,38,-6.5
IUPUI (Horizon),18,143,416,34.4,452,1069,42.3,40,2.2,124,6.9,1281,71.2,1364,75.8,-4.6,8,10,44.4,608,33.8,642,35.7,-1.9
Jackson St. (SWAC),18,100,294,34,397,1004,39.5,59,3.3,147,8.2,1181,65.6,1131,62.8,2.8,12,6,66.7,663,36.8,631,35.1,1.8
Jacksonville St. (OVC),24,170,526,32.3,577,1320,43.7,63,2.6,164,6.8,1622,67.6,1668,69.5,-1.9,11,13,45.8,800,33.3,866,36.1,-2.8
Jacksonville (ASUN),27,219,616,35.6,723,1568,46.1,94,3.5,135,5,2005,74.3,1851,68.6,5.7,18,9,66.7,1048,38.8,915,33.9,4.9
James Madison (CAA),20,166,486,34.2,543,1201,45.2,41,2,149,7.5,1562,78.1,1409,70.5,7.7,13,7,65,747,37.4,741,37,0.3
Kansas City (Summit League),30,227,663,34.2,789,1809,43.6,119,4,207,6.9,2191,73,2008,66.9,6.1,21,9,70,1124,37.5,1038,34.6,2.9
