Rank,Team,GM,W-L,PTS,PPG,3FG,3FGA,FGM,FGA,FG%
310,A&M-Corpus Christi (Southland),24,5-19,"1,554",64.8,153,464,542,"1,296",41.8
69,Abilene Christian (Southland),29,24-5,"2,196",75.7,221,643,786,"1,752",44.9
336,Air Force (Mountain West),25,5-20,"1,468",58.7,174,527,522,"1,170",44.6
35,Akron (MAC),23,15-8,"1,798",78.2,217,652,628,"1,415",44.4
323,Alabama A&M (SWAC),15,6-9,950,63.3,83,286,347,868,40
315,Alabama St. (SWAC),18,4-14,"1,156",64.2,111,350,383,"1,009",38
25,Alabama (SEC),33,26-7,"2,629",79.7,348,989,924,"2,125",43.5
228,Albany (NY) (America East),16,7-9,"1,110",69.4,102,303,395,883,44.7
284,Alcorn (SWAC),19,6-13,"1,256",66.1,113,376,435,"1,107",39.3
231,American (Patriot),10,4-6,691,69.1,90,238,248,557,44.5
197,App State (Sun Belt),29,17-12,"2,039",70.3,233,737,690,"1,688",40.9
96,Arizona St. (Pac-12),25,11-14,"1,858",74.3,179,537,656,"1,515",43.3
73,Arizona (Pac-12),26,17-9"1,961",75.4,174,468,667,"1,492",44.7
330,Ark.-Pine Bluff (SWAC),25,4-21,"1,549",62,123,400,524,"1,356",38.6
134,Arkansas St. (Sun Belt),24,11-13,"1,741",72.5,154,402,621,"1,390",44.7
11,Arkansas (SEC),32,25-7,"2,604",81.4,233,702,935,"2,071",45.1
157,Army West Point (Patriot),22,12-10,"1,578",71.7,172,527,587,"1,286",45.6
44,Auburn (SEC),27,13-14,"2,084",77.2,245,751,711,"1,628",43.7
94,Austin Peay (OVC),27,14-13,"2,007",74.3,194,573,733,"1,617",45.3
85,Ball St. (MAC),23,10-13,"1,719",74.7,195,570,613,"1,384",44.3
6,Baylor (Big 12),28,26-2,"2,323",83,278,677,858,"1,764",48.6
13,Belmont (OVC),30,26-4,"2,439",81.3,271,787,894,"1,829",48.9
301,Binghamton (America East),18,4-14,"1,178",65.4,156,472,430,"1,039",41.4
67,Boise St. (Mountain West),28,19-9,"2,122",75.8,220,635,743,"1,634",45.5
168,Boston College (ACC),20,4-16,"1,427",71.3,180,546,500,"1,186",42.2
227,Boston U. (Patriot),18,7-11,"1,249",69.4,125,393,451,"1,035",43.6
41,Bowling Green (MAC),26,14-12,"2,015",77.5,213,667,724,"1,732",41.8
218,Bradley (MVC),28,12-16,"1,948",69.6,192,603,736,"1,636",45
